Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,return,log_return,real_return,cape,cape_z
1990-07-01,360.03,11.7267,21.42,130.4,8.47,845.21,27.53,50.29,17.75,-0.0009989178390077402,-0.0009994170899343402,-0.004827448163803427,17.75,0.04840639932690588
1990-08-01,330.75,11.7833,21.58,131.6,8.75,769.39,27.41,50.2,16.17,-0.08132655612032325,-0.08482455831639424,-0.08970551697211349,16.17,-0.17124597641370337
1990-09-01,315.41,11.83,21.74,132.7,8.89,727.62,27.29,50.15,15.3,-0.04637944066515487,-0.047489423198293856,-0.054289762019261945,15.3,-0.2921938035620138
1990-10-01,307.12,11.9267,21.6067,133.5,8.72,704.25,27.35,49.55,14.82,-0.026283250372531097,-0.02663482910422932,-0.03211841345757405,14.82,-0.3589236392300471
1990-11-01,315.29,12.0133,21.4733,133.8,8.39,721.37,27.49,49.13,15.19,0.02660197968220901,0.02625429952931846,0.02430954916577921,15.19,-0.30748605756927155
1990-12-01,328.75,12.09,21.34,133.8,8.08,752.16,27.66,48.82,15.85,0.04269085603729894,0.041804733270113914,0.04268267324673869,15.85,-0.21573253352572583
1991-01-01,325.49,12.1067,21.1833,134.6,8.09,740.28,27.53,48.18,15.61,-0.009916349809885872,-0.009965844281485836,-0.015794511805998668,15.61,-0.24909745135974248
1991-02-01,362.26,12.1133,21.0267,134.8,7.85,822.68,27.51,47.75,17.35,0.11296814034225311,0.10703044685428154,0.11130923434376183,17.35,-0.007201797063121636
1991-03-01,372.28,12.11,20.94,135.0,8.11,844.19,27.46,47.48,17.82,0.02765969193397,0.027284073252739738,0.02614625370739554,17.82,0.05813783369516077
1991-04-01,379.68,12.13,20.3633,135.2,8.04,859.69,27.47,46.11,18.16,0.019877511550445925,0.0196825333699433,0.018360795555502962,18.16,0.10540480062668431
1991-05-01,377.99,12.14,19.8567,135.6,8.07,853.34,27.41,44.83,18.04,-0.0044511167298777465,-0.004461052444260538,-0.007386383463806712,18.04,0.08872234170967586
1991-06-01,378.29,12.15,19.41,136.0,8.28,851.51,27.35,43.69,18.02,0.0007936717902590207,0.000793356999352568,-0.0021445144959805207,18.02,0.08594193189017453
